CUSTOMER_ID;COLLEGE;DATA;DATA_Categorie;INCOME;INCOME_Categorie;OVERCHARGE;OVERCHARGE_Categorie;LEFTOVER;HOUSE;LESSTHAN600k;CHILD;JOB_CLASS;REVENUE;HANDSET_PRICE;OVER_15MINS_CALLS_PER_MONTH;TIME_CLIENT;AVERAGE_CALL_DURATION;REPORTED_SATISFACTION;REPORTED_USAGE_LEVEL;CONSIDERING_CHANGE_OF_PLAN;CHURNED
C100021;one;138.92365456821028;Less than 1 Gbs/month;31853;Between 25000 and 50000 $/year;209;More than 200 $/year;49;441115;True;2;2;136;211;28;2.7;1;unsat;very_little;actively_looking_into_it;LEAVE
C100022;one;574.074074074074;Less than 1 Gbs/month;72120;Between 50000 and 75000 $/year;62;Less than 100 $/year;13;718993;False;0;3;210;587;4;2.1;4;avg;high;considering;STAY
C100023;one;364.48598130841117;Less than 1 Gbs/month;40449;Between 25000 and 50000 $/year;34;Less than 100 $/year;8;445875;True;3;2;228;835;4;3.6;5;sat;avg;considering;STAY
C100024;one;618.1818181818182;Less than 1 Gbs/month;54807;Between 50000 and 75000 $/year;65;Less than 100 $/year;0;283817;True;2;3;149;305;5;3.4;15;very_sat;little;never_thought;STAY
C100025;zero;64.23982869379016;Less than 1 Gbs/month;19763;Less than 25000 $/year;54;Less than 100 $/year;78;188852;True;4;1;121;312;5;1;2;unsat;very_little;considering;STAY
C100026;zero;810;Less than 1 Gbs/month;46122;Between 25000 and 50000 $/year;0;Less than 100 $/year;11;240074;True;1;4;95;315;4;2.7;6;very_unsat;little;actively_looking_into_it;STAY
C100027;one;392.3076923076923;Less than 1 Gbs/month;61519.5;Between 50000 and 75000 $/year;160;Between 100 and 200 $/year;8;957540;False;1;1;93;374;28;3.4;4;very_sat;little;no;STAY
C100028;zero;187.5;Less than 1 Gbs/month;73637;Between 50000 and 75000 $/year;0;Less than 100 $/year;14;365137;True;4;2;156;586;1;1.5;5;avg;very_little;no;STAY
C100029;one;299.0033222591362;Less than 1 Gbs/month;46359.5;Between 25000 and 50000 $/year;201;More than 200 $/year;0;619334;False;3;4;186;392;24;2;13;very_unsat;little;perhaps;STAY
C100030;zero;813.8297872340424;Less than 1 Gbs/month;71291;Between 50000 and 75000 $/year;88;Less than 100 $/year;12;927493;False;1;3;177;641;4;3.1;6;very_unsat;high;actively_looking_into_it;LEAVE
C100031;zero;16.759776536312845;Less than 1 Gbs/month;49277;Between 25000 and 50000 $/year;168;Between 100 and 200 $/year;9;991551;False;2;4;168;322;22;1.2;5;avg;little;considering;STAY
C100036;zero;1650;Between 1 and 2 Gbs/month;74429.5;Between 50000 and 75000 $/year;0;Less than 100 $/year;0;927340;False;3;3;228;563;0;6.5;15;very_sat;high;actively_looking_into_it;STAY
C100037;one;1020;Less than 1 Gbs/month;20848.5;Less than 25000 $/year;0;Less than 100 $/year;59;387068;True;1;3;92;203;1;1.4;2;very_sat;little;actively_looking_into_it;LEAVE
C100038;one;455.8303886925795;Less than 1 Gbs/month;89747.5;More than 75000 $/year;183;Between 100 and 200 $/year;0;529329;True;5;3;131;610;13;3.3;10;very_unsat;little;never_thought;LEAVE
C100041;zero;1050;Between 1 and 2 Gbs/month;33497.5;Between 25000 and 50000 $/year;0;Less than 100 $/year;0;251737;True;2;1;87;254;3;2.5;14;very_unsat;very_high;never_thought;STAY
C100043;zero;960;Less than 1 Gbs/month;45084.5;Between 25000 and 50000 $/year;0;Less than 100 $/year;28;502805;True;1;2;232;274;0;1.2;2;very_unsat;very_little;never_thought;LEAVE
C100044;zero;2880;More than 2 Gbs/month;67189.5;Between 50000 and 75000 $/year;0;Less than 100 $/year;15;287024;True;1;4;175;457;0;8.6;5;very_unsat;little;no;STAY
C100045;one;1140;Between 1 and 2 Gbs/month;16707;Less than 25000 $/year;0;Less than 100 $/year;0;232877;True;2;4;195;188;0;3.8;6;very_sat;very_high;actively_looking_into_it;STAY
C100048;zero;211.47540983606558;Less than 1 Gbs/month;27285.5;Between 25000 and 50000 $/year;0;Less than 100 $/year;51;233576;True;3;4;125;352;0;4.3;1;very_unsat;little;considering;LEAVE
C100050;zero;376.1755485893417;Less than 1 Gbs/month;70389;Between 50000 and 75000 $/year;219;More than 200 $/year;0;675911;False;0;3;153;265;0;4;5;very_unsat;little;considering;STAY
C100051;zero;538.4615384615386;Less than 1 Gbs/month;31166.5;Between 25000 and 50000 $/year;173;Between 100 and 200 $/year;0;536064;True;1;4;139;209;28;2.9;10;very_unsat;little;considering;LEAVE
C100053;zero;570;Less than 1 Gbs/month;79768;More than 75000 $/year;0;Less than 100 $/year;63;738333;False;1;2;205;896;0;1.9;1;unsat;very_little;considering;LEAVE
C100056;zero;894.7368421052631;Less than 1 Gbs/month;82913.5;More than 75000 $/year;71;Less than 100 $/year;0;248208;True;3;4;166;582;5;6.1;10;unsat;very_high;considering;STAY
C100058;zero;356.5217391304347;Less than 1 Gbs/month;82305;More than 75000 $/year;245;More than 200 $/year;0;534989;True;3;2;142;440;10;2.1;13;avg;very_little;actively_looking_into_it;LEAVE
C100059;one;217.82178217821786;Less than 1 Gbs/month;26919;Between 25000 and 50000 $/year;63;Less than 100 $/year;14;781766;False;3;2;176;248;4;1.2;6;avg;avg;no;STAY
C100060;zero;181.8181818181818;Less than 1 Gbs/month;22143.5;Less than 25000 $/year;0;Less than 100 $/year;23;409048;True;3;1;147;241;4;2;5;unsat;very_high;considering;STAY
C100063;zero;803.2786885245903;Less than 1 Gbs/month;29797.5;Between 25000 and 50000 $/year;83;Less than 100 $/year;20;169357;True;1;4;145;222;5;4.9;5;unsat;avg;no;STAY
C100064;zero;146.0446247464503;Less than 1 Gbs/month;63650;Between 50000 and 75000 $/year;56;Less than 100 $/year;83;750416;False;2;2;133;588;5;3.8;1;very_sat;little;actively_looking_into_it;LEAVE
C100065;one;466.4310954063605;Less than 1 Gbs/month;89747.5;More than 75000 $/year;183;Between 100 and 200 $/year;0;529329;True;1;1;111;610;13;2.4;10;very_unsat;little;never_thought;LEAVE
C100067;zero;319.1489361702128;Less than 1 Gbs/month;64057;Between 50000 and 75000 $/year;88;Less than 100 $/year;86;572232;True;0;2;134;409;27;3;1;unsat;little;considering;STAY
C100068;zero;156.4625850340136;Less than 1 Gbs/month;30425;Between 25000 and 50000 $/year;171;Between 100 and 200 $/year;17;211509;True;2;1;227;185;0;3.3;6;very_unsat;little;considering;STAY
C100070;zero;227.27272727272725;Less than 1 Gbs/month;18265;Less than 25000 $/year;0;Less than 100 $/year;23;310288;True;5;4;253;204;1;1.5;4;unsat;very_little;no;LEAVE
C100071;one;1320.0000000000002;Between 1 and 2 Gbs/month;50355;Between 50000 and 75000 $/year;0;Less than 100 $/year;0;NA;;1;1;325;417;1;4.4;15;unsat;little;considering;STAY
C100073;one;178.63397548161123;Less than 1 Gbs/month;20758;Less than 25000 $/year;51;Less than 100 $/year;42;673115;False;3;1;121;136;4;2.4;2;very_unsat;high;considering;STAY
C100074;zero;750;Less than 1 Gbs/month;44796;Between 25000 and 50000 $/year;0;Less than 100 $/year;8;743903;False;1;1;102;388;0;2.5;4;unsat;very_high;considering;STAY
C100075;one;456.52173913043475;Less than 1 Gbs/month;24633.5;Less than 25000 $/year;66;Less than 100 $/year;11;700297;False;3;3;111;338;4;4.2;2;unsat;very_high;never_thought;STAY
C100077;one;1200;Between 1 and 2 Gbs/month;15648.5;Less than 25000 $/year;0;Less than 100 $/year;0;206623;True;2;2;194;643;1;2;14;very_sat;very_little;no;LEAVE
C100078;one;23.830538393645185;Less than 1 Gbs/month;50013;Between 50000 and 75000 $/year;223;More than 200 $/year;81;689056;False;3;4;143;369;29;0.9;2;very_unsat;little;actively_looking_into_it;LEAVE
C100079;zero;561.4035087719299;Less than 1 Gbs/month;37956;Between 25000 and 50000 $/year;71;Less than 100 $/year;84;479893;True;0;3;144;358;4;1.2;1;unsat;very_high;no;LEAVE
C100080;zero;134.020618556701;Less than 1 Gbs/month;45751;Between 25000 and 50000 $/year;191;Between 100 and 200 $/year;24;NA;;1;1;143;292;16;2.3;1;very_unsat;very_little;considering;STAY
C100081;one;137.48531139835484;Less than 1 Gbs/month;47284;Between 25000 and 50000 $/year;61;Less than 100 $/year;69;392276;True;2;4;95;375;3;1.9;2;very_unsat;very_high;perhaps;LEAVE
C100082;zero;148.14814814814815;Less than 1 Gbs/month;39247;Between 25000 and 50000 $/year;62;Less than 100 $/year;20;553666;True;1;2;110;315;5;1.8;4;very_unsat;high;never_thought;STAY
C100083;one;480;Less than 1 Gbs/month;19274.5;Less than 25000 $/year;0;Less than 100 $/year;0;701381;False;3;1;160;172;1;1.6;9;unsat;little;no;STAY
C100084;one;1136.3636363636363;Between 1 and 2 Gbs/month;22225.5;Less than 25000 $/year;32;Less than 100 $/year;0;823570;False;3;2;102;176;5;5;15;very_unsat;very_little;considering;STAY
C100086;one;313.04347826086956;Less than 1 Gbs/month;11091;Less than 25000 $/year;0;Less than 100 $/year;13;778878;False;4;2;134;135;0;2.4;5;avg;high;considering;STAY
C100087;zero;241.61073825503348;Less than 1 Gbs/month;67392.5;Between 50000 and 75000 $/year;187;Between 100 and 200 $/year;16;916271;False;4;2;145;274;28;4.6;4;very_unsat;very_high;never_thought;STAY
C100088;zero;321.83908045977;Less than 1 Gbs/month;37685;Between 25000 and 50000 $/year;161;Between 100 and 200 $/year;23;186143;True;1;3;185;192;28;2.8;5;unsat;very_little;no;STAY
C100090;zero;309.3749999999999;Less than 1 Gbs/month;13849.5;Less than 25000 $/year;0;Less than 100 $/year;22;702366;False;4;1;149;154;1;2.3;4;very_sat;very_high;considering;STAY
C100091;one;1920;Between 1 and 2 Gbs/month;62502.5;Between 50000 and 75000 $/year;0;Less than 100 $/year;0;264314;True;3;3;187;717;0;4.4;5;very_unsat;very_high;considering;LEAVE
C100092;one;1470.0000000000002;Between 1 and 2 Gbs/month;76307;More than 75000 $/year;0;Less than 100 $/year;0;582408;True;4;1;172;414;1;4.9;15;very_unsat;little;actively_looking_into_it;STAY
C100093;zero;149.62593516209478;Less than 1 Gbs/month;76216;More than 75000 $/year;181;Between 100 and 200 $/year;12;206205;True;4;4;166;411;29;2;5;unsat;very_little;no;STAY
C100094;one;615.7894736842105;Less than 1 Gbs/month;33685.5;Between 25000 and 50000 $/year;90;Less than 100 $/year;0;308751;True;4;4;191;216;3;3.9;8;very_sat;very_little;actively_looking_into_it;LEAVE
C100097;one;73.29842931937173;Less than 1 Gbs/month;82519.5;More than 75000 $/year;226;More than 200 $/year;82;557574;True;3;3;185;819;11;2.8;1;avg;little;actively_looking_into_it;STAY
C100098;zero;1560;Between 1 and 2 Gbs/month;37671;Between 25000 and 50000 $/year;0;Less than 100 $/year;0;897371;False;3;4;183;361;0;4.2;11;avg;very_high;actively_looking_into_it;STAY
C100099;one;900;Less than 1 Gbs/month;42779;Between 25000 and 50000 $/year;0;Less than 100 $/year;0;887345;False;1;3;137;386;0;2;4;very_unsat;very_high;considering;LEAVE
C100102;zero;235.84905660377356;Less than 1 Gbs/month;38098.5;Between 25000 and 50000 $/year;218;More than 200 $/year;84;768443;False;0;2;110;232;15;3.5;2;very_unsat;very_high;perhaps;STAY
C100103;one;766.6666666666666;Less than 1 Gbs/month;21884.5;Less than 25000 $/year;0;Less than 100 $/year;8;266894;True;2;1;144;131;0;4.6;4;avg;very_high;considering;STAY
C100104;zero;122.36842105263159;Less than 1 Gbs/month;18731.5;Less than 25000 $/year;0;Less than 100 $/year;66;250641;True;3;2;158;182;16;4.1;5;very_sat;very_little;never_thought;STAY
C100105;zero;168.22429906542055;Less than 1 Gbs/month;44257.5;Between 25000 and 50000 $/year;221;More than 200 $/year;0;204100;True;0;1;162;131;14;2.8;14;very_unsat;avg;actively_looking_into_it;STAY
C100106;one;394.7368421052631;Less than 1 Gbs/month;19364.5;Less than 25000 $/year;56;Less than 100 $/year;11;166645;True;3;2;116;145;4;3.5;6;avg;very_little;considering;LEAVE
C100109;one;586.9565217391305;Less than 1 Gbs/month;70333;Between 50000 and 75000 $/year;86;Less than 100 $/year;9;547665;True;2;2;142;779;5;4.4;4;very_sat;high;never_thought;LEAVE
C100110;one;143.20685434516523;Less than 1 Gbs/month;71320.5;Between 50000 and 75000 $/year;27;Less than 100 $/year;69;879129;False;4;4;210;673;5;2.9;2;very_unsat;very_high;actively_looking_into_it;STAY
C100111;one;372.9729729729729;Less than 1 Gbs/month;71052.5;Between 50000 and 75000 $/year;85;Less than 100 $/year;27;760117;False;0;2;134;485;3;2.3;2;very_unsat;little;actively_looking_into_it;LEAVE
C100112;one;678.082191780822;Less than 1 Gbs/month;57209;Between 50000 and 75000 $/year;46;Less than 100 $/year;0;730866;False;1;4;155;636;5;2.3;6;unsat;very_little;no;STAY
C100114;zero;415.09433962264154;Less than 1 Gbs/month;26922;Between 25000 and 50000 $/year;59;Less than 100 $/year;0;184307;True;2;1;113;135;4;1.2;12;very_unsat;little;considering;STAY
C100117;one;121.62162162162161;Less than 1 Gbs/month;93772;More than 75000 $/year;186;Between 100 and 200 $/year;38;296729;True;5;3;148;525;14;2.7;2;avg;very_high;considering;LEAVE
C100119;zero;434.3434343434343;Less than 1 Gbs/month;73691.5;Between 50000 and 75000 $/year;197;Between 100 and 200 $/year;0;196471;True;4;3;128;826;29;2.3;8;very_unsat;very_high;no;LEAVE
C100120;zero;114.44141689373296;Less than 1 Gbs/month;48744.5;Between 25000 and 50000 $/year;167;Between 100 and 200 $/year;10;459343;True;2;2;110;304;29;2.4;1;very_sat;little;no;STAY
C100121;one;689.9999999999999;Less than 1 Gbs/month;19057;Less than 25000 $/year;0;Less than 100 $/year;0;773128;False;2;4;118;145;0;2.3;11;very_unsat;very_little;considering;LEAVE
C100122;one;295.1945080091533;Less than 1 Gbs/month;57198;Between 50000 and 75000 $/year;207;More than 200 $/year;13;326356;True;2;3;103;298;21;3.3;5;avg;little;actively_looking_into_it;LEAVE
C100123;zero;118.29134720700989;Less than 1 Gbs/month;41547.5;Between 25000 and 50000 $/year;183;Between 100 and 200 $/year;63;476474;True;3;2;127;176;25;1.6;1;very_unsat;very_little;no;LEAVE
C100125;zero;226.66666666666669;Less than 1 Gbs/month;32821;Between 25000 and 50000 $/year;210;More than 200 $/year;14;882361;False;5;4;150;215;18;3.4;4;very_sat;little;perhaps;STAY
C100126;zero;300;Less than 1 Gbs/month;49216;Between 25000 and 50000 $/year;0;Less than 100 $/year;38;360487;True;1;4;184;256;1;2;1;very_sat;very_high;actively_looking_into_it;STAY
C100127;one;165.44117647058823;Less than 1 Gbs/month;37096.5;Between 25000 and 50000 $/year;72;Less than 100 $/year;10;888736;False;3;2;146;347;4;0.5;5;avg;avg;actively_looking_into_it;STAY
C100128;zero;828.9473684210527;Less than 1 Gbs/month;62635;Between 50000 and 75000 $/year;52;Less than 100 $/year;54;201006;True;1;3;130;804;3;3.2;2;very_unsat;little;actively_looking_into_it;LEAVE
C100129;zero;269.99999999999994;Less than 1 Gbs/month;23384;Less than 25000 $/year;0;Less than 100 $/year;22;511965;True;1;4;295;234;1;1.9;5;very_sat;very_little;considering;STAY
C100130;one;165.06189821182946;Less than 1 Gbs/month;51717;Between 50000 and 75000 $/year;207;More than 200 $/year;42;159947;True;2;4;162;301;16;3;1;sat;very_little;considering;LEAVE
C100131;one;409.9378881987578;Less than 1 Gbs/month;29217;Between 25000 and 50000 $/year;61;Less than 100 $/year;0;518661;True;2;4;185;242;3;1.2;10;very_sat;little;actively_looking_into_it;STAY
C100132;zero;459.1836734693877;Less than 1 Gbs/month;62091.5;Between 50000 and 75000 $/year;64;Less than 100 $/year;13;915818;False;3;1;133;612;4;3.5;10;unsat;little;no;LEAVE
C100133;zero;262.49999999999994;Less than 1 Gbs/month;33432.5;Between 25000 and 50000 $/year;0;Less than 100 $/year;6;755212;False;5;2;190;346;1;2.4;5;very_unsat;very_little;considering;STAY
C100136;one;216.60649819494586;Less than 1 Gbs/month;35366;Between 25000 and 50000 $/year;177;Between 100 and 200 $/year;17;206182;True;1;4;165;548;20;2;15;very_unsat;very_little;considering;LEAVE
C100137;one;116.99164345403901;Less than 1 Gbs/month;34179.5;Between 25000 and 50000 $/year;209;More than 200 $/year;5;624951;False;2;1;227;145;29;1.4;5;very_unsat;avg;no;STAY
C100138;zero;895.8333333333335;Less than 1 Gbs/month;84100;More than 75000 $/year;44;Less than 100 $/year;19;889550;False;0;4;235;639;4;3.3;4;unsat;very_little;considering;STAY
C100139;one;870;Less than 1 Gbs/month;40001;Between 25000 and 50000 $/year;0;Less than 100 $/year;19;314857;True;1;1;206;368;1;1.9;4;avg;very_high;actively_looking_into_it;LEAVE
C100141;one;369.0851735015773;Less than 1 Gbs/month;32995;Between 25000 and 50000 $/year;217;More than 200 $/year;33;789335;False;0;4;139;289;23;1.9;1;unsat;avg;considering;LEAVE
C100143;one;327.0676691729323;Less than 1 Gbs/month;52127.5;Between 50000 and 75000 $/year;166;Between 100 and 200 $/year;0;370110;True;3;3;183;297;25;2.9;15;very_sat;high;perhaps;LEAVE
C100144;one;482.14285714285717;Less than 1 Gbs/month;42171.5;Between 25000 and 50000 $/year;236;More than 200 $/year;26;175258;True;1;1;197;427;14;3.4;1;very_unsat;little;considering;LEAVE
C100145;zero;158.94039735099338;Less than 1 Gbs/month;82321.5;More than 75000 $/year;51;Less than 100 $/year;0;461754;True;2;4;123;451;4;0.8;11;very_sat;very_little;perhaps;STAY
C100147;zero;196.875;Less than 1 Gbs/month;36262.5;Between 25000 and 50000 $/year;220;More than 200 $/year;0;683624;False;3;2;179;145;26;2.1;14;sat;little;never_thought;STAY
C100148;one;210.52631578947364;Less than 1 Gbs/month;63703;Between 50000 and 75000 $/year;69;Less than 100 $/year;23;849499;False;4;4;147;490;4;1.8;5;very_unsat;very_high;actively_looking_into_it;STAY
C100149;zero;338.98305084745766;Less than 1 Gbs/month;19067.5;Less than 25000 $/year;77;Less than 100 $/year;0;206700;True;3;2;100;246;4;3;10;sat;very_little;considering;STAY
C100150;one;111.11111111111111;Less than 1 Gbs/month;61298.5;Between 50000 and 75000 $/year;197;Between 100 and 200 $/year;6;805908;False;0;4;134;289;28;1.1;4;very_unsat;little;considering;LEAVE
C100151;zero;919.9999999999999;Less than 1 Gbs/month;23701.5;Less than 25000 $/year;0;Less than 100 $/year;5;385948;True;3;3;400;216;1;5.6;4;avg;little;considering;STAY
C100152;one;1740;Between 1 and 2 Gbs/month;51742;Between 50000 and 75000 $/year;0;Less than 100 $/year;0;272519;True;3;1;219;808;1;4.8;9;very_unsat;little;considering;LEAVE
C100153;zero;442.1052631578947;Less than 1 Gbs/month;11177;Less than 25000 $/year;0;Less than 100 $/year;9;168711;True;4;1;198;231;1;2.8;6;very_unsat;very_high;no;STAY
C100154;one;930;Less than 1 Gbs/month;29008;Between 25000 and 50000 $/year;0;Less than 100 $/year;0;212871;True;0;3;185;349;1;3.1;10;very_sat;little;never_thought;STAY
C100155;one;812.1546961325967;Less than 1 Gbs/month;83680;More than 75000 $/year;81;Less than 100 $/year;28;168672;True;0;2;96;555;5;3.9;2;very_unsat;little;considering;LEAVE
C100156;one;472.72727272727275;Less than 1 Gbs/month;10535;Less than 25000 $/year;0;Less than 100 $/year;23;220329;True;3;1;116;133;1;5.2;4;very_unsat;very_high;considering;STAY
C100157;zero;0;Less than 1 Gbs/month;38356.5;Between 25000 and 50000 $/year;0;Less than 100 $/year;19;356309;True;2;4;152;264;0;1;4;avg;high;considering;STAY
C100159;zero;511.7647058823529;Less than 1 Gbs/month;59840.5;Between 50000 and 75000 $/year;70;Less than 100 $/year;0;929648;False;3;4;207;615;5;2.9;10;avg;little;never_thought;STAY
C100160;zero;750;Less than 1 Gbs/month;69646.5;Between 50000 and 75000 $/year;0;Less than 100 $/year;0;471466;True;2;1;154;870;1;1.5;8;very_sat;high;never_thought;STAY
C100163;one;356.87732342007433;Less than 1 Gbs/month;37508.5;Between 25000 and 50000 $/year;169;Between 100 and 200 $/year;0;551256;True;2;3;113;232;18;2.2;15;very_unsat;high;never_thought;LEAVE
C100164;zero;191.48936170212764;Less than 1 Gbs/month;30927.5;Between 25000 and 50000 $/year;182;Between 100 and 200 $/year;0;440125;True;3;3;129;222;29;1.8;9;unsat;little;considering;LEAVE
C100165;zero;604.31654676259;Less than 1 Gbs/month;21496.5;Less than 25000 $/year;39;Less than 100 $/year;87;246568;True;1;4;146;153;4;1.8;10;unsat;very_little;actively_looking_into_it;LEAVE
C100166;one;477.7070063694268;Less than 1 Gbs/month;21799;Less than 25000 $/year;57;Less than 100 $/year;0;202262;True;0;4;118;160;4;3.5;9;very_sat;little;never_thought;STAY
C100169;one;1020;Less than 1 Gbs/month;25887.5;Between 25000 and 50000 $/year;0;Less than 100 $/year;0;195152;True;2;2;235;296;0;2.4;9;very_unsat;very_high;perhaps;LEAVE
C100171;zero;1410;Between 1 and 2 Gbs/month;41508.5;Between 25000 and 50000 $/year;0;Less than 100 $/year;30;241329;True;0;2;99;261;1;2.7;1;avg;very_high;actively_looking_into_it;LEAVE
C100172;one;677.1159874608152;Less than 1 Gbs/month;42694;Between 25000 and 50000 $/year;219;More than 200 $/year;41;395289;True;0;1;209;240;22;6.2;1;sat;little;actively_looking_into_it;STAY
C100175;one;163.79310344827584;Less than 1 Gbs/month;70282;Between 50000 and 75000 $/year;248;More than 200 $/year;0;699052;False;2;4;161;398;27;1.9;14;very_unsat;very_high;considering;STAY
C100176;one;345.39473684210526;Less than 1 Gbs/month;88880.5;More than 75000 $/year;204;More than 200 $/year;67;398612;True;1;2;183;148;3;4.5;2;very_unsat;little;considering;STAY
C100178;one;63.15789473684209;Less than 1 Gbs/month;73778;Between 50000 and 75000 $/year;0;Less than 100 $/year;9;199739;True;4;3;116;173;1;1.4;5;very_unsat;little;actively_looking_into_it;STAY
C100180;zero;212.5984251968504;Less than 1 Gbs/month;32944.5;Between 25000 and 50000 $/year;84;Less than 100 $/year;7;653273;False;4;2;210;156;3;2.8;6;unsat;very_little;considering;STAY
C100181;zero;1640;Between 1 and 2 Gbs/month;58761.5;Between 50000 and 75000 $/year;50;Less than 100 $/year;0;778515;False;4;4;172;559;4;7.2;11;very_sat;very_high;considering;LEAVE
C100182;zero;244.60431654676262;Less than 1 Gbs/month;53858;Between 50000 and 75000 $/year;54;Less than 100 $/year;68;678440;False;2;3;120;255;3;5.8;2;very_sat;little;never_thought;STAY
C100183;zero;272.72727272727275;Less than 1 Gbs/month;67365;Between 50000 and 75000 $/year;230;More than 200 $/year;0;166815;True;2;4;122;352;16;2;13;very_sat;high;considering;STAY
C100184;zero;870;Less than 1 Gbs/month;15492.5;Less than 25000 $/year;0;Less than 100 $/year;0;873611;False;1;1;152;213;0;3.9;11;unsat;high;actively_looking_into_it;STAY
C100185;zero;334.3373493975904;Less than 1 Gbs/month;69395;Between 50000 and 75000 $/year;232;More than 200 $/year;62;370332;True;0;3;111;355;26;4.7;1;unsat;little;considering;STAY
C100186;one;169.81132075471697;Less than 1 Gbs/month;49981;Between 25000 and 50000 $/year;171;Between 100 and 200 $/year;10;240203;True;2;1;124;320;27;2.1;4;very_unsat;little;no;LEAVE
C100187;one;509.433962264151;Less than 1 Gbs/month;28631.5;Between 25000 and 50000 $/year;59;Less than 100 $/year;0;720778;False;3;3;152;167;3;3.7;9;very_sat;high;no;STAY
C100188;one;83.81502890173411;Less than 1 Gbs/month;34926;Between 25000 and 50000 $/year;58;Less than 100 $/year;88;823993;False;3;3;147;394;4;2.9;1;very_sat;very_high;no;STAY
C100190;zero;1529.9999999999998;Between 1 and 2 Gbs/month;43278;Between 25000 and 50000 $/year;0;Less than 100 $/year;0;613105;False;1;1;261;290;3;5.1;13;very_sat;very_little;considering;STAY
C100192;one;200.7434944237918;Less than 1 Gbs/month;60117;Between 50000 and 75000 $/year;169;Between 100 and 200 $/year;57;865878;False;1;3;237;333;0;2.8;2;very_unsat;high;considering;STAY
C100195;zero;614.0350877192982;Less than 1 Gbs/month;30002;Between 25000 and 50000 $/year;71;Less than 100 $/year;76;352621;True;1;2;163;132;5;3.5;2;very_sat;very_high;no;STAY
C100197;zero;1710;Between 1 and 2 Gbs/month;16337.5;Less than 25000 $/year;0;Less than 100 $/year;12;916741;False;1;3;127;229;1;4.7;4;avg;little;no;STAY
C100198;zero;720;Less than 1 Gbs/month;57652.5;Between 50000 and 75000 $/year;0;Less than 100 $/year;5;820820;False;0;2;157;601;4;1.4;4;unsat;high;no;STAY
C100199;zero;1710;Between 1 and 2 Gbs/month;24506;Less than 25000 $/year;0;Less than 100 $/year;59;616894;False;1;1;155;188;1;4.7;1;unsat;little;considering;STAY
